지점,지점명,일시,중간기온(°C),최저기온(°C),최고기온(°C)
108,서울,2020-01-01,-3.1,-6.5,.3
108,서울,2020-01-02,1.5499999999999998,-.7,3.8
108,서울,2020-01-03,0.5999999999999999,-3.4,4.6
108,서울,2020-01-04,1.65,-2.8,6.1
108,서울,2020-01-05,1.6999999999999997,-3.2,6.6
108,서울,2020-01-06,2.5999999999999996,.6,4.6
108,서울,2020-01-07,5.95,4.2,7.7
108,서울,2020-01-08,4.25,-.4,8.9
108,서울,2020-01-09,-0.55,-3.1,2
108,서울,2020-01-10,-0.04999999999999982,-4.3,4.2
108,서울,2020-01-11,0.6499999999999999,-2.6,3.9
108,서울,2020-01-12,-0.3500000000000001,-3.5,2.8
108,서울,2020-01-13,-2.25,-4.7,.2
108,서울,2020-01-14,-1.55,-5.7,2.6
108,서울,2020-01-15,-2.1,-6.4,2.2
108,서울,2020-01-16,-1.15,-5.5,3.2
108,서울,2020-01-17,0.050000000000000266,-4.8,4.9
108,서울,2020-01-18,0.9000000000000004,-4.1,5.9
108,서울,2020-01-19,2.4499999999999997,-.4,5.3
108,서울,2020-01-20,1.1,-3.3,5.5
108,서울,2020-01-21,-0.04999999999999982,-5.6,5.5
108,서울,2020-01-22,3.85,-.1,7.8
108,서울,2020-01-23,4.95,0,9.9
108,서울,2020-01-24,3.0500000000000003,-1.3,7.4
108,서울,2020-01-25,4.7,.6,8.8
108,서울,2020-01-26,5.8500000000000005,-.2,11.9
108,서울,2020-01-27,6.15,4.8,7.5
108,서울,2020-01-28,7.1,4.3,9.9
108,서울,2020-01-29,6.4,3.2,9.6
108,서울,2020-01-30,5.9,1.4,10.4
108,서울,2020-01-31,5.15,1.4,8.9
